category,budget_max,duration,budget_per_day,requirement_title
UI/UX Designer,6000,58,103.45,Onboarding UX Flow
Full Stack Developer,7000,38,184.21,Payment Gateway Integration Doc
Mobile App Developer,7000,40,175.0,Analytics Event Tracking Spec
Frontend Developer,3500,80,43.75,SEO and Keywords Strategy
Frontend Developer,2800,75,37.33,Third-Party Integrations List
DevOps Engineer,5500,40,137.5,Observability Stack Architecture
Backend Developer,5500,58,94.83,Rate Limiting Policy
DevOps Engineer,8000,38,210.53,Disaster Recovery Plan
UI/UX Designer,8000,38,210.53,Figma or XD Source Files
Frontend Developer,7500,38,197.37,Component Testing Standards
Frontend Developer,6000,58,103.45,Project Scope Statement
Frontend Developer,6500,40,162.5,Component Testing Standards
Mobile App Developer,6500,40,162.5,Deep Linking Configuration
DevOps Engineer,6000,40,150.0,Rollback Decision Playbook
Mobile App Developer,8500,38,223.68,Analytics Event Tracking Spec
Mobile App Developer,9000,38,236.84,Deep Linking Configuration
Mobile App Developer,8500,38,223.68,App Accessibility Guidelines
DevOps Engineer,3500,60,58.33,Environment Parity Checklist
Backend Developer,7500,38,197.37,API Documentation
Frontend Developer,4500,60,75.0,Browser Compatibility Matrix
Frontend Developer,5000,60,83.33,Responsive Design Spec
Frontend Developer,4500,55,81.82,Responsive Design Spec
Frontend Developer,6000,55,109.09,Frontend Tech Stack Agreement
Backend Developer,9000,38,236.84,Data Retention Policy
Mobile App Developer,4200,55,76.36,Network Error Handling Spec
DevOps Engineer,6500,40,162.5,Docker and Container Config
Frontend Developer,4500,55,81.82,State Management Plan
Frontend Developer,8000,38,210.53,Project Scope Statement
Full Stack Developer,6500,55,118.18,Logging and Audit Trail Spec
Mobile App Developer,3500,60,58.33,Push Notification Plan
Backend Developer,8500,38,223.68,GDPR Compliance Checklist
Full Stack Developer,8500,38,223.68,Authentication and Security
Mobile App Developer,7000,38,184.21,Deep Linking Configuration
UI/UX Designer,6500,55,118.18,Component Library Documentation
DevOps Engineer,6000,58,103.45,Rollback Decision Playbook
UI/UX Designer,7000,38,184.21,Design Tokens Export
Backend Developer,8000,38,210.53,GDPR Compliance Checklist
Mobile App Developer,8000,38,210.53,App Permissions Justification
DevOps Engineer,6000,55,109.09,Secrets Management Policy
Frontend Developer,9000,38,236.84,Frontend Tech Stack Agreement
Backend Developer,4000,60,66.67,API Response Envelope Standard
Mobile App Developer,4500,60,75.0,Device and OS Target List
Mobile App Developer,5500,40,137.5,App Permissions Justification
UI/UX Designer,6500,58,112.07,Usability Testing Report
DevOps Engineer,8000,38,210.53,Infrastructure Architecture
DevOps Engineer,8000,38,210.53,Docker and Container Config
UI/UX Designer,6500,55,118.18,Prototype Link and Credentials
Frontend Developer,7000,38,184.21,Frontend Tech Stack Agreement
Frontend Developer,9000,38,236.84,Performance Benchmarks
Frontend Developer,5500,40,137.5,Performance Benchmarks
UI/UX Designer,5500,40,137.5,Accessibility Requirements
UI/UX Designer,6000,55,109.09,Design Tokens Export
Full Stack Developer,9000,38,236.84,API Documentation
Full Stack Developer,6000,58,103.45,Project Scope Statement
Full Stack Developer,7500,38,197.37,Deployment Checklist
Mobile App Developer,6000,55,109.09,Analytics Event Tracking Spec
Mobile App Developer,6000,58,103.45,Device and OS Target List
Full Stack Developer,6000,58,103.45,API Documentation
UI/UX Designer,7500,38,197.37,Figma or XD Source Files
Full Stack Developer,7000,38,184.21,Logging and Audit Trail Spec
Full Stack Developer,8500,38,223.68,Logging and Audit Trail Spec
UI/UX Designer,6500,40,162.5,Prototype Link and Credentials
Frontend Developer,6000,38,157.89,Project Scope Statement
Full Stack Developer,6000,38,157.89,Project Scope Statement
Frontend Developer,8500,38,223.68,Performance Benchmarks
Backend Developer,4200,55,76.36,API Response Envelope Standard
DevOps Engineer,6000,40,150.0,Docker and Container Config
DevOps Engineer,5500,58,94.83,Environment Parity Checklist
UI/UX Designer,4000,60,66.67,Wireframes and Mockups
DevOps Engineer,6000,55,109.09,CI/CD Pipeline Configuration
Backend Developer,9000,38,236.84,Database Migration Plan
UI/UX Designer,8000,38,210.53,Prototype Link and Credentials
Frontend Developer,8000,38,210.53,Component Testing Standards
Mobile App Developer,5000,60,83.33,Network Error Handling Spec
Full Stack Developer,7500,38,197.37,Authentication and Security
UI/UX Designer,3500,75,46.67,User Persona Profiles
Backend Developer,6000,40,150.0,Error Handling Standards
Mobile App Developer,2200,70,31.43,Push Notification Plan
Full Stack Developer,6500,55,118.18,Payment Gateway Integration Doc
Backend Developer,8000,38,210.53,Authentication and Security
Frontend Developer,5500,40,137.5,Frontend Tech Stack Agreement
UI/UX Designer,3000,55,54.55,Wireframes and Mockups
Full Stack Developer,6000,55,109.09,Authentication and Security
Frontend Developer,5500,58,94.83,State Management Plan
UI/UX Designer,6000,55,109.09,Accessibility Requirements
Backend Developer,7500,38,197.37,Error Handling Standards
Full Stack Developer,7000,38,184.21,API Documentation
Backend Developer,3500,80,43.75,Health Check Endpoint Spec
Frontend Developer,6000,40,150.0,Component Testing Standards
DevOps Engineer,8000,38,210.53,CI/CD Pipeline Configuration
Frontend Developer,3500,75,46.67,Third-Party Integrations List
Backend Developer,4200,55,76.36,Database ERD
Mobile App Developer,6500,55,118.18,App Accessibility Guidelines
Full Stack Developer,6000,55,109.09,Deployment Checklist
Backend Developer,3500,60,58.33,Health Check Endpoint Spec
Frontend Developer,800,60,13.33,Project Scope Statement
DevOps Engineer,5500,40,137.5,Network Topology Diagram
Full Stack Developer,7500,38,197.37,Logging and Audit Trail Spec
Mobile App Developer,6000,58,103.45,Mobile Security Checklist
UI/UX Designer,5500,55,100.0,Wireframes and Mockups
Full Stack Developer,6500,55,118.18,Authentication and Security
Frontend Developer,3500,80,43.75,Third-Party Integrations List
Backend Developer,800,60,13.33,Health Check Endpoint Spec
Full Stack Developer,8000,38,210.53,Logging and Audit Trail Spec
Full Stack Developer,8500,38,223.68,Admin Panel Requirements
Full Stack Developer,8500,38,223.68,API Documentation
DevOps Engineer,5500,40,137.5,Rollback Decision Playbook
Backend Developer,6000,58,103.45,Authentication and Security
UI/UX Designer,6000,40,150.0,Accessibility Requirements
UI/UX Designer,3500,80,43.75,User Persona Profiles
DevOps Engineer,6500,55,118.18,Secrets Management Policy
Mobile App Developer,7000,38,184.21,Mobile Security Checklist
Full Stack Developer,6000,40,150.0,API Documentation
Mobile App Developer,4200,55,76.36,App Store Assets Package
Full Stack Developer,7000,38,184.21,User Roles and Permissions Matrix
Full Stack Developer,8500,38,223.68,User Roles and Permissions Matrix
Frontend Developer,6000,55,109.09,Responsive Design Spec
Full Stack Developer,5500,55,100.0,Database ERD
Backend Developer,5500,40,137.5,Database Migration Plan
DevOps Engineer,9000,38,236.84,Network Topology Diagram
DevOps Engineer,6500,55,118.18,CI/CD Pipeline Configuration
Frontend Developer,3800,60,63.33,SEO and Keywords Strategy
Mobile App Developer,4000,60,66.67,App Store Assets Package
Mobile App Developer,8000,38,210.53,Analytics Event Tracking Spec
Full Stack Developer,6000,55,109.09,Performance Benchmarks
Frontend Developer,2200,70,31.43,SEO and Keywords Strategy
UI/UX Designer,1800,75,24.0,User Persona Profiles
DevOps Engineer,7000,38,184.21,Disaster Recovery Plan
Mobile App Developer,6500,40,162.5,Mobile Security Checklist
UI/UX Designer,3500,60,58.33,Wireframes and Mockups
Backend Developer,9000,38,236.84,GDPR Compliance Checklist
Full Stack Developer,6000,40,150.0,User Roles and Permissions Matrix
DevOps Engineer,6500,40,162.5,Infrastructure Architecture
DevOps Engineer,7000,38,184.21,Rollback Decision Playbook
Backend Developer,6500,40,162.5,Authentication and Security
Backend Developer,4500,60,75.0,Database ERD
Mobile App Developer,6000,40,150.0,App Onboarding Flow Spec
DevOps Engineer,6000,58,103.45,Docker and Container Config
Backend Developer,6500,40,162.5,Error Handling Standards
DevOps Engineer,7500,38,197.37,Rollback Decision Playbook
UI/UX Designer,6000,40,150.0,Prototype Link and Credentials
UI/UX Designer,6500,58,112.07,Wireframes and Mockups
DevOps Engineer,6000,55,109.09,Network Topology Diagram
Mobile App Developer,6500,55,118.18,Mobile Security Checklist
Full Stack Developer,8000,38,210.53,Payment Gateway Integration Doc
DevOps Engineer,5000,60,83.33,Environment Parity Checklist
Backend Developer,8500,38,223.68,API Documentation
Backend Developer,8000,38,210.53,API Documentation
UI/UX Designer,5500,40,137.5,Prototype Link and Credentials
Full Stack Developer,7500,38,197.37,Payment Gateway Integration Doc
Frontend Developer,7000,38,184.21,Performance Benchmarks
Backend Developer,6000,40,150.0,GDPR Compliance Checklist
Mobile App Developer,3500,80,43.75,Push Notification Plan
Full Stack Developer,6000,58,103.45,Payment Gateway Integration Doc
DevOps Engineer,8000,38,210.53,Load Testing Report
Frontend Developer,6000,58,103.45,Performance Benchmarks
Full Stack Developer,6500,40,162.5,User Roles and Permissions Matrix
Full Stack Developer,7000,40,175.0,Performance Benchmarks
Frontend Developer,3500,60,58.33,Browser Compatibility Matrix
Mobile App Developer,7000,38,184.21,Analytics Event Tracking Spec
Backend Developer,6000,55,109.09,GDPR Compliance Checklist
Frontend Developer,4000,60,66.67,Responsive Design Spec
Mobile App Developer,7500,38,197.37,App Onboarding Flow Spec
Full Stack Developer,4500,60,75.0,Project Scope Statement
Full Stack Developer,8500,38,223.68,Deployment Checklist
UI/UX Designer,5500,55,100.0,Usability Testing Report
Full Stack Developer,7500,38,197.37,API Documentation
Backend Developer,8500,38,223.68,Authentication and Security
Backend Developer,4500,55,81.82,Database ERD
DevOps Engineer,7000,40,175.0,Observability Stack Architecture
Full Stack Developer,6500,40,162.5,Admin Panel Requirements
Full Stack Developer,9000,38,236.84,Authentication and Security
Frontend Developer,2400,75,32.0,Third-Party Integrations List
UI/UX Designer,800,60,13.33,User Persona Profiles
Backend Developer,6500,40,162.5,GDPR Compliance Checklist
Mobile App Developer,7000,38,184.21,App Permissions Justification
DevOps Engineer,4000,60,66.67,Environment Parity Checklist
Frontend Developer,8000,38,210.53,UI Component Specifications
DevOps Engineer,9000,38,236.84,Secrets Management Policy
Backend Developer,4500,55,81.82,API Response Envelope Standard
Full Stack Developer,6000,40,150.0,Authentication and Security
Frontend Developer,6500,40,162.5,Performance Benchmarks
DevOps Engineer,8500,38,223.68,Network Topology Diagram
Full Stack Developer,8500,38,223.68,Payment Gateway Integration Doc
Full Stack Developer,4200,60,70.0,Database ERD
UI/UX Designer,5500,40,137.5,Design Tokens Export
DevOps Engineer,6500,40,162.5,Rollback Decision Playbook
Backend Developer,8500,38,223.68,Error Handling Standards
Mobile App Developer,9000,38,236.84,App Onboarding Flow Spec
DevOps Engineer,9000,38,236.84,Docker and Container Config
UI/UX Designer,6000,40,150.0,Component Library Documentation
Frontend Developer,8500,38,223.68,Component Testing Standards
Backend Developer,6000,58,103.45,Error Handling Standards
Full Stack Developer,6000,55,109.09,User Roles and Permissions Matrix
DevOps Engineer,6500,58,112.07,Environment Parity Checklist
Mobile App Developer,6000,58,103.45,Analytics Event Tracking Spec
Mobile App Developer,5000,60,83.33,Device and OS Target List
Mobile App Developer,3500,80,43.75,Device and OS Target List
DevOps Engineer,8500,38,223.68,Docker and Container Config
Mobile App Developer,7000,40,175.0,App Accessibility Guidelines
Frontend Developer,4500,60,75.0,Project Scope Statement
DevOps Engineer,5500,55,100.0,Environment Parity Checklist
Frontend Developer,5500,55,100.0,Responsive Design Spec
UI/UX Designer,7500,38,197.37,Prototype Link and Credentials
Mobile App Developer,6500,55,118.18,Deep Linking Configuration
Backend Developer,5500,40,137.5,GDPR Compliance Checklist
Frontend Developer,6000,40,150.0,Performance Benchmarks
Frontend Developer,6000,58,103.45,UI Component Specifications
DevOps Engineer,9000,38,236.84,Rollback Decision Playbook
DevOps Engineer,8500,38,223.68,Secrets Management Policy
Frontend Developer,3500,80,43.75,Project Scope Statement
Mobile App Developer,1800,75,24.0,Device and OS Target List
UI/UX Designer,8500,38,223.68,Component Library Documentation
Full Stack Developer,6000,40,150.0,Payment Gateway Integration Doc
DevOps Engineer,6500,55,118.18,Load Testing Report
Full Stack Developer,7000,38,184.21,Authentication and Security
Frontend Developer,800,60,13.33,SEO and Keywords Strategy
Full Stack Developer,8000,38,210.53,Authentication and Security
UI/UX Designer,9000,38,236.84,Component Library Documentation
Backend Developer,5500,55,100.0,API Response Envelope Standard
Frontend Developer,4000,60,66.67,Browser Compatibility Matrix
DevOps Engineer,6500,40,162.5,Load Testing Report
Full Stack Developer,6500,58,112.07,Database ERD
Frontend Developer,6500,55,118.18,UI Component Specifications
UI/UX Designer,4500,60,75.0,Wireframes and Mockups
Backend Developer,1000,70,14.29,Health Check Endpoint Spec
Frontend Developer,3500,60,58.33,Responsive Design Spec
Backend Developer,6000,55,109.09,Data Retention Policy
Backend Developer,3500,75,46.67,Health Check Endpoint Spec
DevOps Engineer,7000,40,175.0,Rollback Decision Playbook
UI/UX Designer,6500,55,118.18,Figma or XD Source Files
UI/UX Designer,6000,55,109.09,Wireframes and Mockups
Backend Developer,7000,38,184.21,GDPR Compliance Checklist
DevOps Engineer,8500,38,223.68,CI/CD Pipeline Configuration
Backend Developer,5000,60,83.33,Database ERD
Mobile App Developer,6500,55,118.18,Analytics Event Tracking Spec
Backend Developer,6500,55,118.18,Database Migration Plan
DevOps Engineer,6000,58,103.45,Infrastructure Architecture
DevOps Engineer,7500,38,197.37,Infrastructure Architecture
UI/UX Designer,3000,55,54.55,Usability Testing Report
DevOps Engineer,8500,38,223.68,Load Testing Report
Mobile App Developer,800,60,13.33,Device and OS Target List
DevOps Engineer,8500,38,223.68,Rollback Decision Playbook
Mobile App Developer,9000,38,236.84,App Accessibility Guidelines
DevOps Engineer,7000,40,175.0,Infrastructure Architecture
Frontend Developer,5000,60,83.33,State Management Plan
UI/UX Designer,6500,40,162.5,Onboarding UX Flow
Backend Developer,6000,58,103.45,GDPR Compliance Checklist
UI/UX Designer,6000,58,103.45,Design Tokens Export
UI/UX Designer,9000,38,236.84,Onboarding UX Flow
Backend Developer,7000,40,175.0,Data Retention Policy
Full Stack Developer,8000,38,210.53,User Roles and Permissions Matrix
Backend Developer,6000,55,109.09,Database Migration Plan
Mobile App Developer,7500,38,197.37,App Permissions Justification
UI/UX Designer,4200,55,76.36,Wireframes and Mockups
UI/UX Designer,9000,38,236.84,Figma or XD Source Files
DevOps Engineer,6000,58,103.45,Secrets Management Policy
Mobile App Developer,5500,40,137.5,Mobile Security Checklist
Backend Developer,7500,38,197.37,Authentication and Security
Mobile App Developer,2500,70,35.71,Device and OS Target List
Mobile App Developer,4200,60,70.0,App Store Assets Package
Backend Developer,6000,55,109.09,API Response Envelope Standard
DevOps Engineer,6000,40,150.0,Infrastructure Architecture
Mobile App Developer,6500,40,162.5,App Accessibility Guidelines
Frontend Developer,3000,80,37.5,SEO and Keywords Strategy
UI/UX Designer,6000,55,109.09,Prototype Link and Credentials
UI/UX Designer,9000,38,236.84,Accessibility Requirements
DevOps Engineer,7000,38,184.21,Secrets Management Policy
Mobile App Developer,6000,40,150.0,Deep Linking Configuration
Frontend Developer,6500,55,118.18,Frontend Tech Stack Agreement
Frontend Developer,3000,80,37.5,Third-Party Integrations List
UI/UX Designer,3800,60,63.33,User Persona Profiles
DevOps Engineer,8000,38,210.53,Rollback Decision Playbook
Frontend Developer,3800,60,63.33,Third-Party Integrations List
Frontend Developer,6500,40,162.5,UI Component Specifications
Backend Developer,7000,38,184.21,Authentication and Security
UI/UX Designer,3000,80,37.5,User Persona Profiles
DevOps Engineer,6500,40,162.5,Observability Stack Architecture
Backend Developer,4200,60,70.0,Rate Limiting Policy
Mobile App Developer,7000,38,184.21,Device and OS Target List
Mobile App Developer,9000,38,236.84,App Permissions Justification
Mobile App Developer,5500,58,94.83,App Store Assets Package
Mobile App Developer,4000,60,66.67,Network Error Handling Spec
Frontend Developer,5000,38,131.58,Project Scope Statement
Mobile App Developer,2800,75,37.33,Push Notification Plan
Frontend Developer,3000,55,54.55,Responsive Design Spec
UI/UX Designer,7500,38,197.37,Design Tokens Export
Backend Developer,7000,38,184.21,API Documentation
Full Stack Developer,3500,60,58.33,Database ERD
Full Stack Developer,5500,40,137.5,User Roles and Permissions Matrix
Mobile App Developer,3500,75,46.67,Push Notification Plan
Mobile App Developer,5500,40,137.5,Deep Linking Configuration
UI/UX Designer,5500,58,94.83,Wireframes and Mockups
Frontend Developer,9000,38,236.84,UI Component Specifications
Frontend Developer,1800,75,24.0,Third-Party Integrations List
Mobile App Developer,6000,55,109.09,Mobile Security Checklist
Mobile App Developer,8000,38,210.53,Mobile Security Checklist
DevOps Engineer,6000,40,150.0,Disaster Recovery Plan
Full Stack Developer,6000,55,109.09,Database ERD
