title,category,description,is_mandatory,type,importance,format
Deep Linking Configuration,Mobile App Developer,"Universal links setup, URL scheme definitions, and fallback behavior for uninstalled apps.",1,Text,High,
Network Error Handling Spec,Mobile App Developer,"Offline detection, retry logic, user-facing error messages, and partial load fallback behavior.",1,Text,High,
App Onboarding Flow Spec,Mobile App Developer,"Splash screen timing, permission sequencing, tutorial carousel design, and skip behavior.",1,File,High,PDF
Push Notification Plan,Mobile App Developer,"Notification types, trigger conditions, opt-in/opt-out flow, and deep linking requirements.",0,Text,Medium,
App Accessibility Guidelines,Mobile App Developer,"VoiceOver and TalkBack support, tap target sizes, dynamic text scaling, and contrast standards.",1,File,High,PDF
CI/CD Pipeline Configuration,DevOps Engineer,"GitHub Actions or GitLab CI scripts for automated build, test, and deployment pipeline.",1,File,High,ZIP
Infrastructure Architecture,DevOps Engineer,"Cloud architecture diagram showing services, load balancers, databases, CDN, and data flow.",1,File,High,Image
Docker and Container Config,DevOps Engineer,"Dockerfile, docker-compose files, image tagging strategy, and container resource limit specs.",1,File,High,ZIP
Disaster Recovery Plan,DevOps Engineer,"RTO and RPO targets, backup strategy, replication setup, and failover procedures.",0,File,High,PDF
Secrets Management Policy,DevOps Engineer,"Vault or AWS Secrets Manager setup, secret rotation schedule, access control, and audit logging.",1,File,High,PDF
Load Testing Report,DevOps Engineer,"k6 or JMeter results showing throughput, p95/p99 latency, error rates, and bottlenecks.",1,File,High,PDF
Observability Stack Architecture,DevOps Engineer,"Metrics, logs, and traces toolchain, data flow diagram, retention config, and dashboard ownership.",1,File,High,PDF
Rollback Decision Playbook,DevOps Engineer,"Rollback trigger criteria, decision authority, automated vs manual steps, and comms template.",1,File,High,PDF
Environment Parity Checklist,DevOps Engineer,"Checklist ensuring dev, staging, and prod use identical configs, versions, and seed data.",1,File,High,PDF
Network Topology Diagram,DevOps Engineer,"VPC layout, subnet segmentation, firewall rules, NAT gateway config, and peering connections.",1,File,High,Image
PWA Manifest and Config,Frontend Developer,"Web app manifest, service worker caching strategy, offline fallback, and install prompt logic.",0,File,Medium,ZIP
Build and Bundle Config,Frontend Developer,"Webpack/Vite config, code splitting strategy, tree shaking rules, and CI build scripts.",1,File,Medium,ZIP
Error Boundary Strategy,Frontend Developer,"React error boundary placement, fallback UI design, and error reporting integration.",0,Text,Medium,
API Versioning Strategy,Backend Developer,"URI vs header versioning approach, deprecation timeline, and backward compatibility rules.",1,Text,High,
Caching Strategy Document,Backend Developer,"Redis or Memcached setup, cache invalidation rules, TTL values per endpoint, and cache warm-up.",1,File,High,PDF
Queue Architecture Doc,Backend Developer,"Message broker choice, queue naming, consumer groups, dead-letter queue handling, and monitoring.",0,File,High,PDF
Third-Party API Contracts,Backend Developer,"External API SLAs, rate limits, fallback behavior, and vendor contact escalation paths.",0,Text,Medium,
Data Anonymization Plan,Backend Developer,"PII field mapping, anonymization method per field type, and audit trail for anonymization runs.",0,File,High,PDF
Pagination Standard,Backend Developer,"Cursor vs offset pagination choice, page size limits, link header format, and client guidance.",0,Text,Medium,
Infrastructure as Code Setup,Full Stack Developer,"Terraform or Pulumi module structure, state backend config, and environment variable management.",1,File,High,ZIP
Session Management Policy,Full Stack Developer,"Session store choice, expiry rules, concurrent session limits, and secure cookie config.",1,Text,High,
Search Feature Requirements,Full Stack Developer,"Full-text search scope, filters, ranking algorithm, and typeahead behavior specifications.",0,Text,Medium,
File Upload Specification,Full Stack Developer,"Accepted file types, size limits, virus scan integration, storage backend, and CDN delivery.",0,Text,Medium,
Real-Time Feature Spec,Full Stack Developer,"WebSocket vs SSE decision, event types, reconnection logic, and scaling strategy.",0,File,High,PDF
Onboarding Flow Documentation,Full Stack Developer,"User onboarding steps, welcome email triggers, activation events, and drop-off tracking.",0,File,Medium,PDF
User Journey Maps,UI/UX Designer,"End-to-end user journey diagrams covering touchpoints, emotions, and pain points per persona.",1,File,High,PDF
Heuristic Evaluation Report,UI/UX Designer,Expert review against Nielsen's 10 heuristics with severity ratings and fix recommendations.,0,File,Medium,PDF
Content Audit Document,UI/UX Designer,"Inventory of all content assets with quality ratings, ownership, and reuse recommendations.",0,File,Medium,PDF
Icon Set Source Files,UI/UX Designer,"SVG icon library with naming conventions, grid system, and usage guidelines.",1,File,Medium,ZIP
Design QA Checklist,UI/UX Designer,"Pre-handoff QA checklist covering spacing, color tokens, font styles, and interactive states.",1,Text,High,
Competitor UX Analysis,UI/UX Designer,Side-by-side UX comparison of 3–5 competitors with feature gap analysis and opportunity map.,0,File,Medium,PDF
Push Notification Strategy,Mobile App Developer,"Notification categories, permission request timing, opt-out flow, and FCM/APNs config.",1,Text,High,
Offline Mode Specification,Mobile App Developer,"Data sync strategy, conflict resolution, offline UI states, and local storage limits.",0,File,Medium,PDF
Mobile CI/CD Pipeline Config,Mobile App Developer,"Fastlane or Bitrise pipeline setup, signing certificate management, and release lane config.",1,File,High,ZIP
Biometric Auth Specification,Mobile App Developer,"FaceID/TouchID integration, fallback PIN flow, and secure enclave usage documentation.",0,Text,High,
Alerting and On-Call Runbook,DevOps Engineer,"PagerDuty/OpsGenie config, alert routing rules, severity levels, and escalation policy.",1,File,High,PDF
Cloud Resource Tagging Policy,DevOps Engineer,"Mandatory tag keys, allowed values, enforcement via AWS Config/Azure Policy, and audit schedule.",0,Text,Medium,
Multi-Region Deployment Plan,DevOps Engineer,"Active-active vs active-passive decision, latency routing, data residency, and failover runbook.",0,File,High,PDF
Container Security Baseline,DevOps Engineer,"Base image standards, image scanning setup, non-root user policy, and runtime security rules.",1,File,High,PDF
Incident Post-Mortem Template,DevOps Engineer,"Standardized blameless post-mortem format with timeline, root cause, and action item tracking.",1,File,Medium,PDF
SLA and SLO Definitions,DevOps Engineer,"Service level objectives per endpoint, error budget policy, and burn rate alerting thresholds.",1,Text,High,
